,end,entity,full_context,id,start
0,10.0,Российская,"Российская теннисистка Вероника Кудерметова уступила голландке Кики Бертенс в матче второго раунда St. Petersburg Ladies Trophy 2020.

Встреча продолжалась 58 минут и завершилась со счетом 1:6, 2:6.

На счету Кудерметовой один эйс, одна двойная ошибка и один реализованный брейк-пойнт из трех. У Бертенс шесть подач навылет и шесть брейк-пойнтов из шести.

Вероника Кудерметова (Россия) — Кики Бертенс (Нидерланды) — 1:6, 2:6

В четвертьфинале Кики сыграет с россиянкой Анастасией Потаповой.

Отметим, что Бертенс является действующей чемпионкой турнира в Санкт-Петербурге.",['Q2428799'],0.0
1,43.0,Вероника Кудерметова,"Российская теннисистка Вероника Кудерметова уступила голландке Кики Бертенс в матче второго раунда St. Petersburg Ladies Trophy 2020.

Встреча продолжалась 58 минут и завершилась со счетом 1:6, 2:6.

На счету Кудерметовой один эйс, одна двойная ошибка и один реализованный брейк-пойнт из трех. У Бертенс шесть подач навылет и шесть брейк-пойнтов из шести.

Вероника Кудерметова (Россия) — Кики Бертенс (Нидерланды) — 1:6, 2:6

В четвертьфинале Кики сыграет с россиянкой Анастасией Потаповой.

Отметим, что Бертенс является действующей чемпионкой турнира в Санкт-Петербурге.",['Q14618664'],23.0
2,75.0,Кики Бертенс,"Российская теннисистка Вероника Кудерметова уступила голландке Кики Бертенс в матче второго раунда St. Petersburg Ladies Trophy 2020.

Встреча продолжалась 58 минут и завершилась со счетом 1:6, 2:6.

На счету Кудерметовой один эйс, одна двойная ошибка и один реализованный брейк-пойнт из трех. У Бертенс шесть подач навылет и шесть брейк-пойнтов из шести.

Вероника Кудерметова (Россия) — Кики Бертенс (Нидерланды) — 1:6, 2:6

В четвертьфинале Кики сыграет с россиянкой Анастасией Потаповой.

Отметим, что Бертенс является действующей чемпионкой турнира в Санкт-Петербурге.",['Q239733'],63.0
3,113.0,St. Petersburg,"Российская теннисистка Вероника Кудерметова уступила голландке Кики Бертенс в матче второго раунда St. Petersburg Ladies Trophy 2020.

Встреча продолжалась 58 минут и завершилась со счетом 1:6, 2:6.

На счету Кудерметовой один эйс, одна двойная ошибка и один реализованный брейк-пойнт из трех. У Бертенс шесть подач навылет и шесть брейк-пойнтов из шести.

Вероника Кудерметова (Россия) — Кики Бертенс (Нидерланды) — 1:6, 2:6

В четвертьфинале Кики сыграет с россиянкой Анастасией Потаповой.

Отметим, что Бертенс является действующей чемпионкой турнира в Санкт-Петербурге.",['Q656'],99.0
4,142.0,Встреча,"Российская теннисистка Вероника Кудерметова уступила голландке Кики Бертенс в матче второго раунда St. Petersburg Ladies Trophy 2020.

Встреча продолжалась 58 минут и завершилась со счетом 1:6, 2:6.

На счету Кудерметовой один эйс, одна двойная ошибка и один реализованный брейк-пойнт из трех. У Бертенс шесть подач навылет и шесть брейк-пойнтов из шести.

Вероника Кудерметова (Россия) — Кики Бертенс (Нидерланды) — 1:6, 2:6

В четвертьфинале Кики сыграет с россиянкой Анастасией Потаповой.

Отметим, что Бертенс является действующей чемпионкой турнира в Санкт-Петербурге.","['Q15266667', 'Q36220024']",135.0
5,202.0,На,"Российская теннисистка Вероника Кудерметова уступила голландке Кики Бертенс в матче второго раунда St. Petersburg Ladies Trophy 2020.

Встреча продолжалась 58 минут и завершилась со счетом 1:6, 2:6.

На счету Кудерметовой один эйс, одна двойная ошибка и один реализованный брейк-пойнт из трех. У Бертенс шесть подач навылет и шесть брейк-пойнтов из шести.

Вероника Кудерметова (Россия) — Кики Бертенс (Нидерланды) — 1:6, 2:6

В четвертьфинале Кики сыграет с россиянкой Анастасией Потаповой.

Отметим, что Бертенс является действующей чемпионкой турнира в Санкт-Петербурге.","['Q6959151', 'Q27222386']",200.0
6,295.0,У,"Российская теннисистка Вероника Кудерметова уступила голландке Кики Бертенс в матче второго раунда St. Petersburg Ladies Trophy 2020.

Встреча продолжалась 58 минут и завершилась со счетом 1:6, 2:6.

На счету Кудерметовой один эйс, одна двойная ошибка и один реализованный брейк-пойнт из трех. У Бертенс шесть подач навылет и шесть брейк-пойнтов из шести.

Вероника Кудерметова (Россия) — Кики Бертенс (Нидерланды) — 1:6, 2:6

В четвертьфинале Кики сыграет с россиянкой Анастасией Потаповой.

Отметим, что Бертенс является действующей чемпионкой турнира в Санкт-Петербурге.","['Q912068', 'Q274488', 'Q1323195']",294.0
7,377.0,Вероника Кудерметова,"Российская теннисистка Вероника Кудерметова уступила голландке Кики Бертенс в матче второго раунда St. Petersburg Ladies Trophy 2020.

Встреча продолжалась 58 минут и завершилась со счетом 1:6, 2:6.

На счету Кудерметовой один эйс, одна двойная ошибка и один реализованный брейк-пойнт из трех. У Бертенс шесть подач навылет и шесть брейк-пойнтов из шести.

Вероника Кудерметова (Россия) — Кики Бертенс (Нидерланды) — 1:6, 2:6

В четвертьфинале Кики сыграет с россиянкой Анастасией Потаповой.

Отметим, что Бертенс является действующей чемпионкой турнира в Санкт-Петербурге.",['Q14618664'],357.0
8,385.0,Россия,"Российская теннисистка Вероника Кудерметова уступила голландке Кики Бертенс в матче второго раунда St. Petersburg Ladies Trophy 2020.

Встреча продолжалась 58 минут и завершилась со счетом 1:6, 2:6.

На счету Кудерметовой один эйс, одна двойная ошибка и один реализованный брейк-пойнт из трех. У Бертенс шесть подач навылет и шесть брейк-пойнтов из шести.

Вероника Кудерметова (Россия) — Кики Бертенс (Нидерланды) — 1:6, 2:6

В четвертьфинале Кики сыграет с россиянкой Анастасией Потаповой.

Отметим, что Бертенс является действующей чемпионкой турнира в Санкт-Петербурге.",['Q159'],379.0
9,401.0,Кики Бертенс,"Российская теннисистка Вероника Кудерметова уступила голландке Кики Бертенс в матче второго раунда St. Petersburg Ladies Trophy 2020.

Встреча продолжалась 58 минут и завершилась со счетом 1:6, 2:6.

На счету Кудерметовой один эйс, одна двойная ошибка и один реализованный брейк-пойнт из трех. У Бертенс шесть подач навылет и шесть брейк-пойнтов из шести.

Вероника Кудерметова (Россия) — Кики Бертенс (Нидерланды) — 1:6, 2:6

В четвертьфинале Кики сыграет с россиянкой Анастасией Потаповой.

Отметим, что Бертенс является действующей чемпионкой турнира в Санкт-Петербурге.",['Q239733'],389.0
