,entity,id,start,end,sent_context,full_context
0,Армянская община,-1,0,16,Армянская община Франции потребовала от экс-министра культуры страны Жака Ланга разъяснить свою позицию по вопросу признания Геноцида армян.,2.txt
1,Франции,Q142,17,24,Армянская община Франции потребовала от экс-министра культуры страны Жака Ланга разъяснить свою позицию по вопросу признания Геноцида армян.,2.txt
2,Жака Ланга,Q379229,69,79,Армянская община Франции потребовала от экс-министра культуры страны Жака Ланга разъяснить свою позицию по вопросу признания Геноцида армян.,2.txt
3,PanARMENIAN.Net,Q7129527,12,27,"Как сообщил PanARMENIAN.Net французский журналист Жан Экиян, в 2008 году на конференции, организованной ассоциацией Liberte pour l'Histoire, был показан видеоматериал, который вызвал серьезное беспокойство среди армянской общины Франции.",2.txt
4,Жан Экиян,-1,50,59,"Как сообщил PanARMENIAN.Net французский журналист Жан Экиян, в 2008 году на конференции, организованной ассоциацией Liberte pour l'Histoire, был показан видеоматериал, который вызвал серьезное беспокойство среди армянской общины Франции.",2.txt
5,Liberte pour l'Histoire,Q3237860,116,139,"Как сообщил PanARMENIAN.Net французский журналист Жан Экиян, в 2008 году на конференции, организованной ассоциацией Liberte pour l'Histoire, был показан видеоматериал, который вызвал серьезное беспокойство среди армянской общины Франции.",2.txt
6,Франции,Q142,229,236,"Как сообщил PanARMENIAN.Net французский журналист Жан Экиян, в 2008 году на конференции, организованной ассоциацией Liberte pour l'Histoire, был показан видеоматериал, который вызвал серьезное беспокойство среди армянской общины Франции.",2.txt
7,Жак Ланг,Q379229,0,8,"Жак Ланг, который является одним из первых защитников закона о признании Геноцида армян, в показанном материале отказался от своей позиции: “Я проголосовал за принятие законопроекта о криминализации Геноцида армян в Национальном собрании Франции 12 октября 2007 года, потому что это было мне нужно во время предвыборной кампании», - сказал Ланг.",2.txt
8,Национальном собрании,Q193582,216,237,"Жак Ланг, который является одним из первых защитников закона о признании Геноцида армян, в показанном материале отказался от своей позиции: “Я проголосовал за принятие законопроекта о криминализации Геноцида армян в Национальном собрании Франции 12 октября 2007 года, потому что это было мне нужно во время предвыборной кампании», - сказал Ланг.",2.txt
9,Франции,Q142,238,245,"Жак Ланг, который является одним из первых защитников закона о признании Геноцида армян, в показанном материале отказался от своей позиции: “Я проголосовал за принятие законопроекта о криминализации Геноцида армян в Национальном собрании Франции 12 октября 2007 года, потому что это было мне нужно во время предвыборной кампании», - сказал Ланг.",2.txt
10,Ланг,Q379229,340,344,"Жак Ланг, который является одним из первых защитников закона о признании Геноцида армян, в показанном материале отказался от своей позиции: “Я проголосовал за принятие законопроекта о криминализации Геноцида армян в Национальном собрании Франции 12 октября 2007 года, потому что это было мне нужно во время предвыборной кампании», - сказал Ланг.",2.txt
11,Ассоциации армянских организаций Франции (CCAF),-1,10,57,"Президент Ассоциации армянских организаций Франции (CCAF) Алексис Говчян направил открытое письмо экс-министру, в котором выразил возмущение его новой позицией в отношении признания Геноцида армян.",2.txt
12,Алексис Говчян,-1,58,72,"Президент Ассоциации армянских организаций Франции (CCAF) Алексис Говчян направил открытое письмо экс-министру, в котором выразил возмущение его новой позицией в отношении признания Геноцида армян.",2.txt
13,Турции,Q43,96,102,"Я буду продолжать работать над тем, чтобы Геноцид армян был признан во всем мире и, особенно, в Турции», - сказал Ланг в интервью AFP..",2.txt
14,Ланг,Q379229,114,118,"Я буду продолжать работать над тем, чтобы Геноцид армян был признан во всем мире и, особенно, в Турции», - сказал Ланг в интервью AFP..",2.txt
15,AFP,Q40464,130,133,"Я буду продолжать работать над тем, чтобы Геноцид армян был признан во всем мире и, особенно, в Турции», - сказал Ланг в интервью AFP..",2.txt
