,entity,id,start,end,sent_context,full_context
0,Союза армянской молодежи,-1,25,49,"8 сентября по инициативе Союза армянской молодежи Украины в Киеве отметили храмовый праздник церкви Рождества Богородицы, которая существовала ранее на Подоле","8 сентября по инициативе Союза армянской молодежи Украины в Киеве отметили храмовый праздник церкви Рождества Богородицы, которая существовала ранее на Подоле. В праздновании приняли участие представители армянских молодежных организаций из многих областей Украины, киевской общины и Гражданской платформы «Армяне Украины», пишет AnalitikaUA.net. В храмовый день представители Союза армянской молодежи Украины вместе с настоятелем армянской часовни Србоц Наатакац отцом Карапетом Гарибяном посетили Подол, где у памятной плиты состоялось возложение цветов и молебен. После завершения памятных мероприятий, председатели региональных молодежных организации, провели рабочее заседание, где обсудили актуальные вопросы САМУ. Союз армян Украины проводит активную работу в направлении популяризации национальных исторических ценностей. Председатель Союза армян Украины Вилен Шатворян заявил: «Мы гордимся богатым культурным и историческим наследием армян Украины, и сделаем все возможное для сохранения и популяризации исторического, архитектурного и культурного наследия»."
1,Украины,"['Q212', 'Q212', 'Q81893']",50,57,"8 сентября по инициативе Союза армянской молодежи Украины в Киеве отметили храмовый праздник церкви Рождества Богородицы, которая существовала ранее на Подоле","8 сентября по инициативе Союза армянской молодежи Украины в Киеве отметили храмовый праздник церкви Рождества Богородицы, которая существовала ранее на Подоле. В праздновании приняли участие представители армянских молодежных организаций из многих областей Украины, киевской общины и Гражданской платформы «Армяне Украины», пишет AnalitikaUA.net. В храмовый день представители Союза армянской молодежи Украины вместе с настоятелем армянской часовни Србоц Наатакац отцом Карапетом Гарибяном посетили Подол, где у памятной плиты состоялось возложение цветов и молебен. После завершения памятных мероприятий, председатели региональных молодежных организации, провели рабочее заседание, где обсудили актуальные вопросы САМУ. Союз армян Украины проводит активную работу в направлении популяризации национальных исторических ценностей. Председатель Союза армян Украины Вилен Шатворян заявил: «Мы гордимся богатым культурным и историческим наследием армян Украины, и сделаем все возможное для сохранения и популяризации исторического, архитектурного и культурного наследия»."
2,Киеве,"['Q1899', 'Q1899', 'Q170036']",60,65,"8 сентября по инициативе Союза армянской молодежи Украины в Киеве отметили храмовый праздник церкви Рождества Богородицы, которая существовала ранее на Подоле","8 сентября по инициативе Союза армянской молодежи Украины в Киеве отметили храмовый праздник церкви Рождества Богородицы, которая существовала ранее на Подоле. В праздновании приняли участие представители армянских молодежных организаций из многих областей Украины, киевской общины и Гражданской платформы «Армяне Украины», пишет AnalitikaUA.net. В храмовый день представители Союза армянской молодежи Украины вместе с настоятелем армянской часовни Србоц Наатакац отцом Карапетом Гарибяном посетили Подол, где у памятной плиты состоялось возложение цветов и молебен. После завершения памятных мероприятий, председатели региональных молодежных организации, провели рабочее заседание, где обсудили актуальные вопросы САМУ. Союз армян Украины проводит активную работу в направлении популяризации национальных исторических ценностей. Председатель Союза армян Украины Вилен Шатворян заявил: «Мы гордимся богатым культурным и историческим наследием армян Украины, и сделаем все возможное для сохранения и популяризации исторического, архитектурного и культурного наследия»."
3,Подоле,"['Q4453488', 'Q4453488', 'Q4453488']",152,158,"8 сентября по инициативе Союза армянской молодежи Украины в Киеве отметили храмовый праздник церкви Рождества Богородицы, которая существовала ранее на Подоле","8 сентября по инициативе Союза армянской молодежи Украины в Киеве отметили храмовый праздник церкви Рождества Богородицы, которая существовала ранее на Подоле. В праздновании приняли участие представители армянских молодежных организаций из многих областей Украины, киевской общины и Гражданской платформы «Армяне Украины», пишет AnalitikaUA.net. В храмовый день представители Союза армянской молодежи Украины вместе с настоятелем армянской часовни Србоц Наатакац отцом Карапетом Гарибяном посетили Подол, где у памятной плиты состоялось возложение цветов и молебен. После завершения памятных мероприятий, председатели региональных молодежных организации, провели рабочее заседание, где обсудили актуальные вопросы САМУ. Союз армян Украины проводит активную работу в направлении популяризации национальных исторических ценностей. Председатель Союза армян Украины Вилен Шатворян заявил: «Мы гордимся богатым культурным и историческим наследием армян Украины, и сделаем все возможное для сохранения и популяризации исторического, архитектурного и культурного наследия»."
4,Украины,"['Q212', 'Q212', 'Q81893']",97,104,"В праздновании приняли участие представители армянских молодежных организаций из многих областей Украины, киевской общины и Гражданской платформы «Армяне Украины», пишет AnalitikaUA.net","8 сентября по инициативе Союза армянской молодежи Украины в Киеве отметили храмовый праздник церкви Рождества Богородицы, которая существовала ранее на Подоле. В праздновании приняли участие представители армянских молодежных организаций из многих областей Украины, киевской общины и Гражданской платформы «Армяне Украины», пишет AnalitikaUA.net. В храмовый день представители Союза армянской молодежи Украины вместе с настоятелем армянской часовни Србоц Наатакац отцом Карапетом Гарибяном посетили Подол, где у памятной плиты состоялось возложение цветов и молебен. После завершения памятных мероприятий, председатели региональных молодежных организации, провели рабочее заседание, где обсудили актуальные вопросы САМУ. Союз армян Украины проводит активную работу в направлении популяризации национальных исторических ценностей. Председатель Союза армян Украины Вилен Шатворян заявил: «Мы гордимся богатым культурным и историческим наследием армян Украины, и сделаем все возможное для сохранения и популяризации исторического, архитектурного и культурного наследия»."
5,Гражданской платформы «Армяне Украины,-1,124,161,"В праздновании приняли участие представители армянских молодежных организаций из многих областей Украины, киевской общины и Гражданской платформы «Армяне Украины», пишет AnalitikaUA.net","8 сентября по инициативе Союза армянской молодежи Украины в Киеве отметили храмовый праздник церкви Рождества Богородицы, которая существовала ранее на Подоле. В праздновании приняли участие представители армянских молодежных организаций из многих областей Украины, киевской общины и Гражданской платформы «Армяне Украины», пишет AnalitikaUA.net. В храмовый день представители Союза армянской молодежи Украины вместе с настоятелем армянской часовни Србоц Наатакац отцом Карапетом Гарибяном посетили Подол, где у памятной плиты состоялось возложение цветов и молебен. После завершения памятных мероприятий, председатели региональных молодежных организации, провели рабочее заседание, где обсудили актуальные вопросы САМУ. Союз армян Украины проводит активную работу в направлении популяризации национальных исторических ценностей. Председатель Союза армян Украины Вилен Шатворян заявил: «Мы гордимся богатым культурным и историческим наследием армян Украины, и сделаем все возможное для сохранения и популяризации исторического, архитектурного и культурного наследия»."
6,AnalitikaUA.net,-1,170,185,"В праздновании приняли участие представители армянских молодежных организаций из многих областей Украины, киевской общины и Гражданской платформы «Армяне Украины», пишет AnalitikaUA.net","8 сентября по инициативе Союза армянской молодежи Украины в Киеве отметили храмовый праздник церкви Рождества Богородицы, которая существовала ранее на Подоле. В праздновании приняли участие представители армянских молодежных организаций из многих областей Украины, киевской общины и Гражданской платформы «Армяне Украины», пишет AnalitikaUA.net. В храмовый день представители Союза армянской молодежи Украины вместе с настоятелем армянской часовни Србоц Наатакац отцом Карапетом Гарибяном посетили Подол, где у памятной плиты состоялось возложение цветов и молебен. После завершения памятных мероприятий, председатели региональных молодежных организации, провели рабочее заседание, где обсудили актуальные вопросы САМУ. Союз армян Украины проводит активную работу в направлении популяризации национальных исторических ценностей. Председатель Союза армян Украины Вилен Шатворян заявил: «Мы гордимся богатым культурным и историческим наследием армян Украины, и сделаем все возможное для сохранения и популяризации исторического, архитектурного и культурного наследия»."
7,Союза армянской молодежи,-1,30,54,"В храмовый день представители Союза армянской молодежи Украины вместе с настоятелем армянской часовни Србоц Наатакац отцом Карапетом Гарибяном посетили Подол, где у памятной плиты состоялось возложение цветов и молебен","8 сентября по инициативе Союза армянской молодежи Украины в Киеве отметили храмовый праздник церкви Рождества Богородицы, которая существовала ранее на Подоле. В праздновании приняли участие представители армянских молодежных организаций из многих областей Украины, киевской общины и Гражданской платформы «Армяне Украины», пишет AnalitikaUA.net. В храмовый день представители Союза армянской молодежи Украины вместе с настоятелем армянской часовни Србоц Наатакац отцом Карапетом Гарибяном посетили Подол, где у памятной плиты состоялось возложение цветов и молебен. После завершения памятных мероприятий, председатели региональных молодежных организации, провели рабочее заседание, где обсудили актуальные вопросы САМУ. Союз армян Украины проводит активную работу в направлении популяризации национальных исторических ценностей. Председатель Союза армян Украины Вилен Шатворян заявил: «Мы гордимся богатым культурным и историческим наследием армян Украины, и сделаем все возможное для сохранения и популяризации исторического, архитектурного и культурного наследия»."
8,Украины,"['Q212', 'Q212', 'Q81893']",55,62,"В храмовый день представители Союза армянской молодежи Украины вместе с настоятелем армянской часовни Србоц Наатакац отцом Карапетом Гарибяном посетили Подол, где у памятной плиты состоялось возложение цветов и молебен","8 сентября по инициативе Союза армянской молодежи Украины в Киеве отметили храмовый праздник церкви Рождества Богородицы, которая существовала ранее на Подоле. В праздновании приняли участие представители армянских молодежных организаций из многих областей Украины, киевской общины и Гражданской платформы «Армяне Украины», пишет AnalitikaUA.net. В храмовый день представители Союза армянской молодежи Украины вместе с настоятелем армянской часовни Србоц Наатакац отцом Карапетом Гарибяном посетили Подол, где у памятной плиты состоялось возложение цветов и молебен. После завершения памятных мероприятий, председатели региональных молодежных организации, провели рабочее заседание, где обсудили актуальные вопросы САМУ. Союз армян Украины проводит активную работу в направлении популяризации национальных исторических ценностей. Председатель Союза армян Украины Вилен Шатворян заявил: «Мы гордимся богатым культурным и историческим наследием армян Украины, и сделаем все возможное для сохранения и популяризации исторического, архитектурного и культурного наследия»."
9,Србоц Наатакац,-1,102,116,"В храмовый день представители Союза армянской молодежи Украины вместе с настоятелем армянской часовни Србоц Наатакац отцом Карапетом Гарибяном посетили Подол, где у памятной плиты состоялось возложение цветов и молебен","8 сентября по инициативе Союза армянской молодежи Украины в Киеве отметили храмовый праздник церкви Рождества Богородицы, которая существовала ранее на Подоле. В праздновании приняли участие представители армянских молодежных организаций из многих областей Украины, киевской общины и Гражданской платформы «Армяне Украины», пишет AnalitikaUA.net. В храмовый день представители Союза армянской молодежи Украины вместе с настоятелем армянской часовни Србоц Наатакац отцом Карапетом Гарибяном посетили Подол, где у памятной плиты состоялось возложение цветов и молебен. После завершения памятных мероприятий, председатели региональных молодежных организации, провели рабочее заседание, где обсудили актуальные вопросы САМУ. Союз армян Украины проводит активную работу в направлении популяризации национальных исторических ценностей. Председатель Союза армян Украины Вилен Шатворян заявил: «Мы гордимся богатым культурным и историческим наследием армян Украины, и сделаем все возможное для сохранения и популяризации исторического, архитектурного и культурного наследия»."
