,entity,id,start,end,sent_context,full_context
0,Динамо,"['Q179075', 'Q17497', 'Q172803']",35,41,Бывший главный тренер московского «Динамо» Дмитрий Хохлов поделился мнением по поводу возможной отставки Марко Николича с поста главного тренера «Локомотива»,"Бывший главный тренер московского «Динамо» Дмитрий Хохлов поделился мнением по поводу возможной отставки Марко Николича с поста главного тренера «Локомотива». «Николич должен покинуть «Локомотив»? Судя по результатам, естественно, мы видим, что их нет, игра команды невнятная. Российского тренера убрали бы давно, вряд ли предоставив возможность столько работать», — заявил Хохлов в интервью «Русфутболу». Напомним, что «Локомотив» под руководством Николича занял четвертую строчку в группе Лиги чемпионов, а в чемпионате России располагается на восьмой позиции – ниже «Динамо» и «Краснодара»."
1,Дмитрий Хохлов,"['Q476684', 'Q4500519']",43,57,Бывший главный тренер московского «Динамо» Дмитрий Хохлов поделился мнением по поводу возможной отставки Марко Николича с поста главного тренера «Локомотива»,"Бывший главный тренер московского «Динамо» Дмитрий Хохлов поделился мнением по поводу возможной отставки Марко Николича с поста главного тренера «Локомотива». «Николич должен покинуть «Локомотив»? Судя по результатам, естественно, мы видим, что их нет, игра команды невнятная. Российского тренера убрали бы давно, вряд ли предоставив возможность столько работать», — заявил Хохлов в интервью «Русфутболу». Напомним, что «Локомотив» под руководством Николича занял четвертую строчку в группе Лиги чемпионов, а в чемпионате России располагается на восьмой позиции – ниже «Динамо» и «Краснодара»."
2,Марко Николича,-1,105,119,Бывший главный тренер московского «Динамо» Дмитрий Хохлов поделился мнением по поводу возможной отставки Марко Николича с поста главного тренера «Локомотива»,"Бывший главный тренер московского «Динамо» Дмитрий Хохлов поделился мнением по поводу возможной отставки Марко Николича с поста главного тренера «Локомотива». «Николич должен покинуть «Локомотив»? Судя по результатам, естественно, мы видим, что их нет, игра команды невнятная. Российского тренера убрали бы давно, вряд ли предоставив возможность столько работать», — заявил Хохлов в интервью «Русфутболу». Напомним, что «Локомотив» под руководством Николича занял четвертую строчку в группе Лиги чемпионов, а в чемпионате России располагается на восьмой позиции – ниже «Динамо» и «Краснодара»."
3,Локомотива,"['Q29115', 'Q1124841', 'Q93301']",146,156,Бывший главный тренер московского «Динамо» Дмитрий Хохлов поделился мнением по поводу возможной отставки Марко Николича с поста главного тренера «Локомотива»,"Бывший главный тренер московского «Динамо» Дмитрий Хохлов поделился мнением по поводу возможной отставки Марко Николича с поста главного тренера «Локомотива». «Николич должен покинуть «Локомотив»? Судя по результатам, естественно, мы видим, что их нет, игра команды невнятная. Российского тренера убрали бы давно, вряд ли предоставив возможность столько работать», — заявил Хохлов в интервью «Русфутболу». Напомним, что «Локомотив» под руководством Николича занял четвертую строчку в группе Лиги чемпионов, а в чемпионате России располагается на восьмой позиции – ниже «Динамо» и «Краснодара»."
4,Николич,"['Q57431', 'Q14553301', 'Q842219']",1,8,"«Николич должен покинуть «Локомотив»? Судя по результатам, естественно, мы видим, что их нет, игра команды невнятная","Бывший главный тренер московского «Динамо» Дмитрий Хохлов поделился мнением по поводу возможной отставки Марко Николича с поста главного тренера «Локомотива». «Николич должен покинуть «Локомотив»? Судя по результатам, естественно, мы видим, что их нет, игра команды невнятная. Российского тренера убрали бы давно, вряд ли предоставив возможность столько работать», — заявил Хохлов в интервью «Русфутболу». Напомним, что «Локомотив» под руководством Николича занял четвертую строчку в группе Лиги чемпионов, а в чемпионате России располагается на восьмой позиции – ниже «Динамо» и «Краснодара»."
5,Локомотив,"['Q29115', 'Q1124841', 'Q93301']",26,35,"«Николич должен покинуть «Локомотив»? Судя по результатам, естественно, мы видим, что их нет, игра команды невнятная","Бывший главный тренер московского «Динамо» Дмитрий Хохлов поделился мнением по поводу возможной отставки Марко Николича с поста главного тренера «Локомотива». «Николич должен покинуть «Локомотив»? Судя по результатам, естественно, мы видим, что их нет, игра команды невнятная. Российского тренера убрали бы давно, вряд ли предоставив возможность столько работать», — заявил Хохлов в интервью «Русфутболу». Напомним, что «Локомотив» под руководством Николича занял четвертую строчку в группе Лиги чемпионов, а в чемпионате России располагается на восьмой позиции – ниже «Динамо» и «Краснодара»."
6,Хохлов,"['Q1075572', 'Q476684', 'Q1968214']",97,103,"Российского тренера убрали бы давно, вряд ли предоставив возможность столько работать», — заявил Хохлов в интервью «Русфутболу»","Бывший главный тренер московского «Динамо» Дмитрий Хохлов поделился мнением по поводу возможной отставки Марко Николича с поста главного тренера «Локомотива». «Николич должен покинуть «Локомотив»? Судя по результатам, естественно, мы видим, что их нет, игра команды невнятная. Российского тренера убрали бы давно, вряд ли предоставив возможность столько работать», — заявил Хохлов в интервью «Русфутболу». Напомним, что «Локомотив» под руководством Николича занял четвертую строчку в группе Лиги чемпионов, а в чемпионате России располагается на восьмой позиции – ниже «Динамо» и «Краснодара»."
7,Русфутболу,-1,116,126,"Российского тренера убрали бы давно, вряд ли предоставив возможность столько работать», — заявил Хохлов в интервью «Русфутболу»","Бывший главный тренер московского «Динамо» Дмитрий Хохлов поделился мнением по поводу возможной отставки Марко Николича с поста главного тренера «Локомотива». «Николич должен покинуть «Локомотив»? Судя по результатам, естественно, мы видим, что их нет, игра команды невнятная. Российского тренера убрали бы давно, вряд ли предоставив возможность столько работать», — заявил Хохлов в интервью «Русфутболу». Напомним, что «Локомотив» под руководством Николича занял четвертую строчку в группе Лиги чемпионов, а в чемпионате России располагается на восьмой позиции – ниже «Динамо» и «Краснодара»."
8,Локомотив,"['Q29115', 'Q1124841', 'Q93301']",15,24,"Напомним, что «Локомотив» под руководством Николича занял четвертую строчку в группе Лиги чемпионов, а в чемпионате России располагается на восьмой позиции – ниже «Динамо» и «Краснодара».","Бывший главный тренер московского «Динамо» Дмитрий Хохлов поделился мнением по поводу возможной отставки Марко Николича с поста главного тренера «Локомотива». «Николич должен покинуть «Локомотив»? Судя по результатам, естественно, мы видим, что их нет, игра команды невнятная. Российского тренера убрали бы давно, вряд ли предоставив возможность столько работать», — заявил Хохлов в интервью «Русфутболу». Напомним, что «Локомотив» под руководством Николича занял четвертую строчку в группе Лиги чемпионов, а в чемпионате России располагается на восьмой позиции – ниже «Динамо» и «Краснодара»."
9,Николича,-1,43,51,"Напомним, что «Локомотив» под руководством Николича занял четвертую строчку в группе Лиги чемпионов, а в чемпионате России располагается на восьмой позиции – ниже «Динамо» и «Краснодара».","Бывший главный тренер московского «Динамо» Дмитрий Хохлов поделился мнением по поводу возможной отставки Марко Николича с поста главного тренера «Локомотива». «Николич должен покинуть «Локомотив»? Судя по результатам, естественно, мы видим, что их нет, игра команды невнятная. Российского тренера убрали бы давно, вряд ли предоставив возможность столько работать», — заявил Хохлов в интервью «Русфутболу». Напомним, что «Локомотив» под руководством Николича занял четвертую строчку в группе Лиги чемпионов, а в чемпионате России располагается на восьмой позиции – ниже «Динамо» и «Краснодара»."
