,entity,id,start,end,sent_context,full_context
0,Сасанидов,"['Q83891', 'Q83891', 'Q83891']",98,107,"Манихейство или манихеизм — синкретическое религиозное учение, возникшее в III веке в государстве Сасанидов (на территории современного Ирака).","Манихейство или манихеизм — синкретическое религиозное учение, возникшее в III веке в государстве Сасанидов (на территории современного Ирака). Названо по имени своего основателя — Мани с добавлением эпитета «живой». Учение Мани было составлено в основном из христианско-гностических представлений, опиравшихся на специфическое понимание Библии, однако со временем впитало большое число заимствований из других религий — зороастризма и буддизма — по мере проповеди в странах их распространения. Также манихейство не было напрямую связано с западными и восточными учениями, которым была свойственна дуалистическая доктрина (катаризм, павликианство, зиндики), а определение «манихейский» использовалось христианским и мусульманским духовенством как инвектива. Для собственно манихейского учения было характерно представление о вселенском характере истинной религии, которое проходит через скрытую и явленную стадии. Именно это позволило манихейству встраиваться в самые разные культурные контексты — от античного до китайского. Однако, по определению Е. Б. Смагиной, манихейство стало не мировой религией, а «мировой ересью».
К IV веку манихейские общины существовали почти на всей территории Римской и Сасанидской империй и в окрестных странах. Римские власти с манихейством боролись: первый антиманихейский указ издал Диоклетиан в 297 году, в дальнейшем такие указы издавали христианские императоры в 326, 372 и 381—383 годах. К VI веку манихейство на Западе пришло в упадок. В этот же период в государстве Сасанидов началась борьба со всеми незороастрийскими религиозными организациями, из-за чего большинство манихеев осели в Центральной Азии, центр религиозной организации был перенесён в Самарканд. В VII—VIII веках манихейство проникает в Китай. В 762 году в манихейство обратился Бегю-каган — глава уйгурского государства; официальной религией оно было до разгрома каганата в 840 году, но впоследствии сохранилось в уйгурском Гаочанском государстве, а также проникло в Южную Сибирь, где просуществовало до монгольского завоевания. С IX века начинается преследование манихейства в Китае, аналогичные процессы происходили в мусульманских государствах. Тем не менее, манихейские общины зафиксированы на территории Туркестана и Китая до XIV века, как минимум один манихейский текст вошёл в даосский канон. Манихейство под видом буддийской секты сохранялось в Южном Китае до начала XVII века, единственный манихейский храм остался в Фуцзяни, но он принадлежит буддийской общине.
"
1,Ирака,"['Q796', 'Q796', 'Q796']",136,141,"Манихейство или манихеизм — синкретическое религиозное учение, возникшее в III веке в государстве Сасанидов (на территории современного Ирака).","Манихейство или манихеизм — синкретическое религиозное учение, возникшее в III веке в государстве Сасанидов (на территории современного Ирака). Названо по имени своего основателя — Мани с добавлением эпитета «живой». Учение Мани было составлено в основном из христианско-гностических представлений, опиравшихся на специфическое понимание Библии, однако со временем впитало большое число заимствований из других религий — зороастризма и буддизма — по мере проповеди в странах их распространения. Также манихейство не было напрямую связано с западными и восточными учениями, которым была свойственна дуалистическая доктрина (катаризм, павликианство, зиндики), а определение «манихейский» использовалось христианским и мусульманским духовенством как инвектива. Для собственно манихейского учения было характерно представление о вселенском характере истинной религии, которое проходит через скрытую и явленную стадии. Именно это позволило манихейству встраиваться в самые разные культурные контексты — от античного до китайского. Однако, по определению Е. Б. Смагиной, манихейство стало не мировой религией, а «мировой ересью».
К IV веку манихейские общины существовали почти на всей территории Римской и Сасанидской империй и в окрестных странах. Римские власти с манихейством боролись: первый антиманихейский указ издал Диоклетиан в 297 году, в дальнейшем такие указы издавали христианские императоры в 326, 372 и 381—383 годах. К VI веку манихейство на Западе пришло в упадок. В этот же период в государстве Сасанидов началась борьба со всеми незороастрийскими религиозными организациями, из-за чего большинство манихеев осели в Центральной Азии, центр религиозной организации был перенесён в Самарканд. В VII—VIII веках манихейство проникает в Китай. В 762 году в манихейство обратился Бегю-каган — глава уйгурского государства; официальной религией оно было до разгрома каганата в 840 году, но впоследствии сохранилось в уйгурском Гаочанском государстве, а также проникло в Южную Сибирь, где просуществовало до монгольского завоевания. С IX века начинается преследование манихейства в Китае, аналогичные процессы происходили в мусульманских государствах. Тем не менее, манихейские общины зафиксированы на территории Туркестана и Китая до XIV века, как минимум один манихейский текст вошёл в даосский канон. Манихейство под видом буддийской секты сохранялось в Южном Китае до начала XVII века, единственный манихейский храм остался в Фуцзяни, но он принадлежит буддийской общине.
"
2,Мани,"['Q1099426', 'Q1099426', 'Q745295']",37,41,Названо по имени своего основателя — Мани с добавлением эпитета «живой».,"Манихейство или манихеизм — синкретическое религиозное учение, возникшее в III веке в государстве Сасанидов (на территории современного Ирака). Названо по имени своего основателя — Мани с добавлением эпитета «живой». Учение Мани было составлено в основном из христианско-гностических представлений, опиравшихся на специфическое понимание Библии, однако со временем впитало большое число заимствований из других религий — зороастризма и буддизма — по мере проповеди в странах их распространения. Также манихейство не было напрямую связано с западными и восточными учениями, которым была свойственна дуалистическая доктрина (катаризм, павликианство, зиндики), а определение «манихейский» использовалось христианским и мусульманским духовенством как инвектива. Для собственно манихейского учения было характерно представление о вселенском характере истинной религии, которое проходит через скрытую и явленную стадии. Именно это позволило манихейству встраиваться в самые разные культурные контексты — от античного до китайского. Однако, по определению Е. Б. Смагиной, манихейство стало не мировой религией, а «мировой ересью».
К IV веку манихейские общины существовали почти на всей территории Римской и Сасанидской империй и в окрестных странах. Римские власти с манихейством боролись: первый антиманихейский указ издал Диоклетиан в 297 году, в дальнейшем такие указы издавали христианские императоры в 326, 372 и 381—383 годах. К VI веку манихейство на Западе пришло в упадок. В этот же период в государстве Сасанидов началась борьба со всеми незороастрийскими религиозными организациями, из-за чего большинство манихеев осели в Центральной Азии, центр религиозной организации был перенесён в Самарканд. В VII—VIII веках манихейство проникает в Китай. В 762 году в манихейство обратился Бегю-каган — глава уйгурского государства; официальной религией оно было до разгрома каганата в 840 году, но впоследствии сохранилось в уйгурском Гаочанском государстве, а также проникло в Южную Сибирь, где просуществовало до монгольского завоевания. С IX века начинается преследование манихейства в Китае, аналогичные процессы происходили в мусульманских государствах. Тем не менее, манихейские общины зафиксированы на территории Туркестана и Китая до XIV века, как минимум один манихейский текст вошёл в даосский канон. Манихейство под видом буддийской секты сохранялось в Южном Китае до начала XVII века, единственный манихейский храм остался в Фуцзяни, но он принадлежит буддийской общине.
"
3,Учение Мани,-1,0,11,"Учение Мани было составлено в основном из христианско-гностических представлений, опиравшихся на специфическое понимание Библии, однако со временем впитало большое число заимствований из других религий — зороастризма и буддизма — по мере проповеди в странах их распространения.","Манихейство или манихеизм — синкретическое религиозное учение, возникшее в III веке в государстве Сасанидов (на территории современного Ирака). Названо по имени своего основателя — Мани с добавлением эпитета «живой». Учение Мани было составлено в основном из христианско-гностических представлений, опиравшихся на специфическое понимание Библии, однако со временем впитало большое число заимствований из других религий — зороастризма и буддизма — по мере проповеди в странах их распространения. Также манихейство не было напрямую связано с западными и восточными учениями, которым была свойственна дуалистическая доктрина (катаризм, павликианство, зиндики), а определение «манихейский» использовалось христианским и мусульманским духовенством как инвектива. Для собственно манихейского учения было характерно представление о вселенском характере истинной религии, которое проходит через скрытую и явленную стадии. Именно это позволило манихейству встраиваться в самые разные культурные контексты — от античного до китайского. Однако, по определению Е. Б. Смагиной, манихейство стало не мировой религией, а «мировой ересью».
К IV веку манихейские общины существовали почти на всей территории Римской и Сасанидской империй и в окрестных странах. Римские власти с манихейством боролись: первый антиманихейский указ издал Диоклетиан в 297 году, в дальнейшем такие указы издавали христианские императоры в 326, 372 и 381—383 годах. К VI веку манихейство на Западе пришло в упадок. В этот же период в государстве Сасанидов началась борьба со всеми незороастрийскими религиозными организациями, из-за чего большинство манихеев осели в Центральной Азии, центр религиозной организации был перенесён в Самарканд. В VII—VIII веках манихейство проникает в Китай. В 762 году в манихейство обратился Бегю-каган — глава уйгурского государства; официальной религией оно было до разгрома каганата в 840 году, но впоследствии сохранилось в уйгурском Гаочанском государстве, а также проникло в Южную Сибирь, где просуществовало до монгольского завоевания. С IX века начинается преследование манихейства в Китае, аналогичные процессы происходили в мусульманских государствах. Тем не менее, манихейские общины зафиксированы на территории Туркестана и Китая до XIV века, как минимум один манихейский текст вошёл в даосский канон. Манихейство под видом буддийской секты сохранялось в Южном Китае до начала XVII века, единственный манихейский храм остался в Фуцзяни, но он принадлежит буддийской общине.
"
4,Е. Б. Смагиной,-1,23,37,"Однако, по определению Е. Б. Смагиной, манихейство стало не мировой религией, а «мировой ересью».","Манихейство или манихеизм — синкретическое религиозное учение, возникшее в III веке в государстве Сасанидов (на территории современного Ирака). Названо по имени своего основателя — Мани с добавлением эпитета «живой». Учение Мани было составлено в основном из христианско-гностических представлений, опиравшихся на специфическое понимание Библии, однако со временем впитало большое число заимствований из других религий — зороастризма и буддизма — по мере проповеди в странах их распространения. Также манихейство не было напрямую связано с западными и восточными учениями, которым была свойственна дуалистическая доктрина (катаризм, павликианство, зиндики), а определение «манихейский» использовалось христианским и мусульманским духовенством как инвектива. Для собственно манихейского учения было характерно представление о вселенском характере истинной религии, которое проходит через скрытую и явленную стадии. Именно это позволило манихейству встраиваться в самые разные культурные контексты — от античного до китайского. Однако, по определению Е. Б. Смагиной, манихейство стало не мировой религией, а «мировой ересью».
К IV веку манихейские общины существовали почти на всей территории Римской и Сасанидской империй и в окрестных странах. Римские власти с манихейством боролись: первый антиманихейский указ издал Диоклетиан в 297 году, в дальнейшем такие указы издавали христианские императоры в 326, 372 и 381—383 годах. К VI веку манихейство на Западе пришло в упадок. В этот же период в государстве Сасанидов началась борьба со всеми незороастрийскими религиозными организациями, из-за чего большинство манихеев осели в Центральной Азии, центр религиозной организации был перенесён в Самарканд. В VII—VIII веках манихейство проникает в Китай. В 762 году в манихейство обратился Бегю-каган — глава уйгурского государства; официальной религией оно было до разгрома каганата в 840 году, но впоследствии сохранилось в уйгурском Гаочанском государстве, а также проникло в Южную Сибирь, где просуществовало до монгольского завоевания. С IX века начинается преследование манихейства в Китае, аналогичные процессы происходили в мусульманских государствах. Тем не менее, манихейские общины зафиксированы на территории Туркестана и Китая до XIV века, как минимум один манихейский текст вошёл в даосский канон. Манихейство под видом буддийской секты сохранялось в Южном Китае до начала XVII века, единственный манихейский храм остался в Фуцзяни, но он принадлежит буддийской общине.
"
5,Римской,"['Q95742932', 'Q95742932', 'Q93227']",67,74,К IV веку манихейские общины существовали почти на всей территории Римской и Сасанидской империй и в окрестных странах.,"Манихейство или манихеизм — синкретическое религиозное учение, возникшее в III веке в государстве Сасанидов (на территории современного Ирака). Названо по имени своего основателя — Мани с добавлением эпитета «живой». Учение Мани было составлено в основном из христианско-гностических представлений, опиравшихся на специфическое понимание Библии, однако со временем впитало большое число заимствований из других религий — зороастризма и буддизма — по мере проповеди в странах их распространения. Также манихейство не было напрямую связано с западными и восточными учениями, которым была свойственна дуалистическая доктрина (катаризм, павликианство, зиндики), а определение «манихейский» использовалось христианским и мусульманским духовенством как инвектива. Для собственно манихейского учения было характерно представление о вселенском характере истинной религии, которое проходит через скрытую и явленную стадии. Именно это позволило манихейству встраиваться в самые разные культурные контексты — от античного до китайского. Однако, по определению Е. Б. Смагиной, манихейство стало не мировой религией, а «мировой ересью».
К IV веку манихейские общины существовали почти на всей территории Римской и Сасанидской империй и в окрестных странах. Римские власти с манихейством боролись: первый антиманихейский указ издал Диоклетиан в 297 году, в дальнейшем такие указы издавали христианские императоры в 326, 372 и 381—383 годах. К VI веку манихейство на Западе пришло в упадок. В этот же период в государстве Сасанидов началась борьба со всеми незороастрийскими религиозными организациями, из-за чего большинство манихеев осели в Центральной Азии, центр религиозной организации был перенесён в Самарканд. В VII—VIII веках манихейство проникает в Китай. В 762 году в манихейство обратился Бегю-каган — глава уйгурского государства; официальной религией оно было до разгрома каганата в 840 году, но впоследствии сохранилось в уйгурском Гаочанском государстве, а также проникло в Южную Сибирь, где просуществовало до монгольского завоевания. С IX века начинается преследование манихейства в Китае, аналогичные процессы происходили в мусульманских государствах. Тем не менее, манихейские общины зафиксированы на территории Туркестана и Китая до XIV века, как минимум один манихейский текст вошёл в даосский канон. Манихейство под видом буддийской секты сохранялось в Южном Китае до начала XVII века, единственный манихейский храм остался в Фуцзяни, но он принадлежит буддийской общине.
"
6,Сасанидской империй,-1,77,96,К IV веку манихейские общины существовали почти на всей территории Римской и Сасанидской империй и в окрестных странах.,"Манихейство или манихеизм — синкретическое религиозное учение, возникшее в III веке в государстве Сасанидов (на территории современного Ирака). Названо по имени своего основателя — Мани с добавлением эпитета «живой». Учение Мани было составлено в основном из христианско-гностических представлений, опиравшихся на специфическое понимание Библии, однако со временем впитало большое число заимствований из других религий — зороастризма и буддизма — по мере проповеди в странах их распространения. Также манихейство не было напрямую связано с западными и восточными учениями, которым была свойственна дуалистическая доктрина (катаризм, павликианство, зиндики), а определение «манихейский» использовалось христианским и мусульманским духовенством как инвектива. Для собственно манихейского учения было характерно представление о вселенском характере истинной религии, которое проходит через скрытую и явленную стадии. Именно это позволило манихейству встраиваться в самые разные культурные контексты — от античного до китайского. Однако, по определению Е. Б. Смагиной, манихейство стало не мировой религией, а «мировой ересью».
К IV веку манихейские общины существовали почти на всей территории Римской и Сасанидской империй и в окрестных странах. Римские власти с манихейством боролись: первый антиманихейский указ издал Диоклетиан в 297 году, в дальнейшем такие указы издавали христианские императоры в 326, 372 и 381—383 годах. К VI веку манихейство на Западе пришло в упадок. В этот же период в государстве Сасанидов началась борьба со всеми незороастрийскими религиозными организациями, из-за чего большинство манихеев осели в Центральной Азии, центр религиозной организации был перенесён в Самарканд. В VII—VIII веках манихейство проникает в Китай. В 762 году в манихейство обратился Бегю-каган — глава уйгурского государства; официальной религией оно было до разгрома каганата в 840 году, но впоследствии сохранилось в уйгурском Гаочанском государстве, а также проникло в Южную Сибирь, где просуществовало до монгольского завоевания. С IX века начинается преследование манихейства в Китае, аналогичные процессы происходили в мусульманских государствах. Тем не менее, манихейские общины зафиксированы на территории Туркестана и Китая до XIV века, как минимум один манихейский текст вошёл в даосский канон. Манихейство под видом буддийской секты сохранялось в Южном Китае до начала XVII века, единственный манихейский храм остался в Фуцзяни, но он принадлежит буддийской общине.
"
7,Диоклетиан,"['Q43107', 'Q43107', 'Q43107']",74,84,"Римские власти с манихейством боролись: первый антиманихейский указ издал Диоклетиан в 297 году, в дальнейшем такие указы издавали христианские императоры в 326, 372 и 381—383 годах.","Манихейство или манихеизм — синкретическое религиозное учение, возникшее в III веке в государстве Сасанидов (на территории современного Ирака). Названо по имени своего основателя — Мани с добавлением эпитета «живой». Учение Мани было составлено в основном из христианско-гностических представлений, опиравшихся на специфическое понимание Библии, однако со временем впитало большое число заимствований из других религий — зороастризма и буддизма — по мере проповеди в странах их распространения. Также манихейство не было напрямую связано с западными и восточными учениями, которым была свойственна дуалистическая доктрина (катаризм, павликианство, зиндики), а определение «манихейский» использовалось христианским и мусульманским духовенством как инвектива. Для собственно манихейского учения было характерно представление о вселенском характере истинной религии, которое проходит через скрытую и явленную стадии. Именно это позволило манихейству встраиваться в самые разные культурные контексты — от античного до китайского. Однако, по определению Е. Б. Смагиной, манихейство стало не мировой религией, а «мировой ересью».
К IV веку манихейские общины существовали почти на всей территории Римской и Сасанидской империй и в окрестных странах. Римские власти с манихейством боролись: первый антиманихейский указ издал Диоклетиан в 297 году, в дальнейшем такие указы издавали христианские императоры в 326, 372 и 381—383 годах. К VI веку манихейство на Западе пришло в упадок. В этот же период в государстве Сасанидов началась борьба со всеми незороастрийскими религиозными организациями, из-за чего большинство манихеев осели в Центральной Азии, центр религиозной организации был перенесён в Самарканд. В VII—VIII веках манихейство проникает в Китай. В 762 году в манихейство обратился Бегю-каган — глава уйгурского государства; официальной религией оно было до разгрома каганата в 840 году, но впоследствии сохранилось в уйгурском Гаочанском государстве, а также проникло в Южную Сибирь, где просуществовало до монгольского завоевания. С IX века начинается преследование манихейства в Китае, аналогичные процессы происходили в мусульманских государствах. Тем не менее, манихейские общины зафиксированы на территории Туркестана и Китая до XIV века, как минимум один манихейский текст вошёл в даосский канон. Манихейство под видом буддийской секты сохранялось в Южном Китае до начала XVII века, единственный манихейский храм остался в Фуцзяни, но он принадлежит буддийской общине.
"
8,Западе,"['Q679', 'Q679', 'Q457189']",25,31,К VI веку манихейство на Западе пришло в упадок.,"Манихейство или манихеизм — синкретическое религиозное учение, возникшее в III веке в государстве Сасанидов (на территории современного Ирака). Названо по имени своего основателя — Мани с добавлением эпитета «живой». Учение Мани было составлено в основном из христианско-гностических представлений, опиравшихся на специфическое понимание Библии, однако со временем впитало большое число заимствований из других религий — зороастризма и буддизма — по мере проповеди в странах их распространения. Также манихейство не было напрямую связано с западными и восточными учениями, которым была свойственна дуалистическая доктрина (катаризм, павликианство, зиндики), а определение «манихейский» использовалось христианским и мусульманским духовенством как инвектива. Для собственно манихейского учения было характерно представление о вселенском характере истинной религии, которое проходит через скрытую и явленную стадии. Именно это позволило манихейству встраиваться в самые разные культурные контексты — от античного до китайского. Однако, по определению Е. Б. Смагиной, манихейство стало не мировой религией, а «мировой ересью».
К IV веку манихейские общины существовали почти на всей территории Римской и Сасанидской империй и в окрестных странах. Римские власти с манихейством боролись: первый антиманихейский указ издал Диоклетиан в 297 году, в дальнейшем такие указы издавали христианские императоры в 326, 372 и 381—383 годах. К VI веку манихейство на Западе пришло в упадок. В этот же период в государстве Сасанидов началась борьба со всеми незороастрийскими религиозными организациями, из-за чего большинство манихеев осели в Центральной Азии, центр религиозной организации был перенесён в Самарканд. В VII—VIII веках манихейство проникает в Китай. В 762 году в манихейство обратился Бегю-каган — глава уйгурского государства; официальной религией оно было до разгрома каганата в 840 году, но впоследствии сохранилось в уйгурском Гаочанском государстве, а также проникло в Южную Сибирь, где просуществовало до монгольского завоевания. С IX века начинается преследование манихейства в Китае, аналогичные процессы происходили в мусульманских государствах. Тем не менее, манихейские общины зафиксированы на территории Туркестана и Китая до XIV века, как минимум один манихейский текст вошёл в даосский канон. Манихейство под видом буддийской секты сохранялось в Южном Китае до начала XVII века, единственный манихейский храм остался в Фуцзяни, но он принадлежит буддийской общине.
"
9,Сасанидов,"['Q83891', 'Q83891', 'Q83891']",31,40,"В этот же период в государстве Сасанидов началась борьба со всеми незороастрийскими религиозными организациями, из-за чего большинство манихеев осели в Центральной Азии, центр религиозной организации был перенесён в Самарканд.","Манихейство или манихеизм — синкретическое религиозное учение, возникшее в III веке в государстве Сасанидов (на территории современного Ирака). Названо по имени своего основателя — Мани с добавлением эпитета «живой». Учение Мани было составлено в основном из христианско-гностических представлений, опиравшихся на специфическое понимание Библии, однако со временем впитало большое число заимствований из других религий — зороастризма и буддизма — по мере проповеди в странах их распространения. Также манихейство не было напрямую связано с западными и восточными учениями, которым была свойственна дуалистическая доктрина (катаризм, павликианство, зиндики), а определение «манихейский» использовалось христианским и мусульманским духовенством как инвектива. Для собственно манихейского учения было характерно представление о вселенском характере истинной религии, которое проходит через скрытую и явленную стадии. Именно это позволило манихейству встраиваться в самые разные культурные контексты — от античного до китайского. Однако, по определению Е. Б. Смагиной, манихейство стало не мировой религией, а «мировой ересью».
К IV веку манихейские общины существовали почти на всей территории Римской и Сасанидской империй и в окрестных странах. Римские власти с манихейством боролись: первый антиманихейский указ издал Диоклетиан в 297 году, в дальнейшем такие указы издавали христианские императоры в 326, 372 и 381—383 годах. К VI веку манихейство на Западе пришло в упадок. В этот же период в государстве Сасанидов началась борьба со всеми незороастрийскими религиозными организациями, из-за чего большинство манихеев осели в Центральной Азии, центр религиозной организации был перенесён в Самарканд. В VII—VIII веках манихейство проникает в Китай. В 762 году в манихейство обратился Бегю-каган — глава уйгурского государства; официальной религией оно было до разгрома каганата в 840 году, но впоследствии сохранилось в уйгурском Гаочанском государстве, а также проникло в Южную Сибирь, где просуществовало до монгольского завоевания. С IX века начинается преследование манихейства в Китае, аналогичные процессы происходили в мусульманских государствах. Тем не менее, манихейские общины зафиксированы на территории Туркестана и Китая до XIV века, как минимум один манихейский текст вошёл в даосский канон. Манихейство под видом буддийской секты сохранялось в Южном Китае до начала XVII века, единственный манихейский храм остался в Фуцзяни, но он принадлежит буддийской общине.
"
