,entity,id,start,end,sent_context,full_context
0,Макс) Эйве,"['Q173714', 'Q173714', 'Q173714']",10,20,Махгилис (Макс) Эйве (нидерл.,"Махгилис (Макс) Эйве (нидерл. Machgielis «Max» Euwe, МФА: [ˈmɑks ˈøˑwə]; 20 мая 1901, Ватерграфсмер — 26 ноября 1981, Амстердам) — нидерландский шахматист и математик, пятый чемпион мира по шахматам (1935—1937), международный гроссмейстер (1950). Эйве стал чемпионом мира, победив в матче Александра Алехина, но через два года проиграл ему в матче-реванше. Эйве оставался одним из сильнейших шахматистов мира до конца 1940-х годов, а по окончании карьеры на высшем уровне занялся исследованиями в области информатики.
В 1970 году Эйве был избран президентом ФИДЕ и занимал эту должность два срока (1970—1978). На период его президентства пришлись скандальный матч на первенство мира между Борисом Спасским и Робертом Фишером и несостоявшийся матч Фишер — Карпов.
Игра Эйве отличалась логичностью и точным расчётом вариантов. Эйве был известен как сильный тактик, а также знаток дебютной теории. Его перу принадлежит большое количество книг, наиболее известны из которых шахматные учебники и дебютные справочники.
"
1,Ватерграфсмер,['Q1936132'],13,26,"20 мая 1901, Ватерграфсмер — 26 ноября 1981, Амстердам) — нидерландский шахматист и математик, пятый чемпион мира по шахматам (1935—1937), международный гроссмейстер (1950).","Махгилис (Макс) Эйве (нидерл. Machgielis «Max» Euwe, МФА: [ˈmɑks ˈøˑwə]; 20 мая 1901, Ватерграфсмер — 26 ноября 1981, Амстердам) — нидерландский шахматист и математик, пятый чемпион мира по шахматам (1935—1937), международный гроссмейстер (1950). Эйве стал чемпионом мира, победив в матче Александра Алехина, но через два года проиграл ему в матче-реванше. Эйве оставался одним из сильнейших шахматистов мира до конца 1940-х годов, а по окончании карьеры на высшем уровне занялся исследованиями в области информатики.
В 1970 году Эйве был избран президентом ФИДЕ и занимал эту должность два срока (1970—1978). На период его президентства пришлись скандальный матч на первенство мира между Борисом Спасским и Робертом Фишером и несостоявшийся матч Фишер — Карпов.
Игра Эйве отличалась логичностью и точным расчётом вариантов. Эйве был известен как сильный тактик, а также знаток дебютной теории. Его перу принадлежит большое количество книг, наиболее известны из которых шахматные учебники и дебютные справочники.
"
2,Амстердам,"['Q4064528', 'Q727', 'Q727']",45,54,"20 мая 1901, Ватерграфсмер — 26 ноября 1981, Амстердам) — нидерландский шахматист и математик, пятый чемпион мира по шахматам (1935—1937), международный гроссмейстер (1950).","Махгилис (Макс) Эйве (нидерл. Machgielis «Max» Euwe, МФА: [ˈmɑks ˈøˑwə]; 20 мая 1901, Ватерграфсмер — 26 ноября 1981, Амстердам) — нидерландский шахматист и математик, пятый чемпион мира по шахматам (1935—1937), международный гроссмейстер (1950). Эйве стал чемпионом мира, победив в матче Александра Алехина, но через два года проиграл ему в матче-реванше. Эйве оставался одним из сильнейших шахматистов мира до конца 1940-х годов, а по окончании карьеры на высшем уровне занялся исследованиями в области информатики.
В 1970 году Эйве был избран президентом ФИДЕ и занимал эту должность два срока (1970—1978). На период его президентства пришлись скандальный матч на первенство мира между Борисом Спасским и Робертом Фишером и несостоявшийся матч Фишер — Карпов.
Игра Эйве отличалась логичностью и точным расчётом вариантов. Эйве был известен как сильный тактик, а также знаток дебютной теории. Его перу принадлежит большое количество книг, наиболее известны из которых шахматные учебники и дебютные справочники.
"
3,Эйве,"['Q173714', 'Q173714', 'Q173714']",0,4,"Эйве стал чемпионом мира, победив в матче Александра Алехина, но через два года проиграл ему в матче-реванше.","Махгилис (Макс) Эйве (нидерл. Machgielis «Max» Euwe, МФА: [ˈmɑks ˈøˑwə]; 20 мая 1901, Ватерграфсмер — 26 ноября 1981, Амстердам) — нидерландский шахматист и математик, пятый чемпион мира по шахматам (1935—1937), международный гроссмейстер (1950). Эйве стал чемпионом мира, победив в матче Александра Алехина, но через два года проиграл ему в матче-реванше. Эйве оставался одним из сильнейших шахматистов мира до конца 1940-х годов, а по окончании карьеры на высшем уровне занялся исследованиями в области информатики.
В 1970 году Эйве был избран президентом ФИДЕ и занимал эту должность два срока (1970—1978). На период его президентства пришлись скандальный матч на первенство мира между Борисом Спасским и Робертом Фишером и несостоявшийся матч Фишер — Карпов.
Игра Эйве отличалась логичностью и точным расчётом вариантов. Эйве был известен как сильный тактик, а также знаток дебютной теории. Его перу принадлежит большое количество книг, наиболее известны из которых шахматные учебники и дебютные справочники.
"
4,Александра Алехина,"['Q97314907', 'Q97658891', 'Q131374']",42,60,"Эйве стал чемпионом мира, победив в матче Александра Алехина, но через два года проиграл ему в матче-реванше.","Махгилис (Макс) Эйве (нидерл. Machgielis «Max» Euwe, МФА: [ˈmɑks ˈøˑwə]; 20 мая 1901, Ватерграфсмер — 26 ноября 1981, Амстердам) — нидерландский шахматист и математик, пятый чемпион мира по шахматам (1935—1937), международный гроссмейстер (1950). Эйве стал чемпионом мира, победив в матче Александра Алехина, но через два года проиграл ему в матче-реванше. Эйве оставался одним из сильнейших шахматистов мира до конца 1940-х годов, а по окончании карьеры на высшем уровне занялся исследованиями в области информатики.
В 1970 году Эйве был избран президентом ФИДЕ и занимал эту должность два срока (1970—1978). На период его президентства пришлись скандальный матч на первенство мира между Борисом Спасским и Робертом Фишером и несостоявшийся матч Фишер — Карпов.
Игра Эйве отличалась логичностью и точным расчётом вариантов. Эйве был известен как сильный тактик, а также знаток дебютной теории. Его перу принадлежит большое количество книг, наиболее известны из которых шахматные учебники и дебютные справочники.
"
5,Эйве,"['Q173714', 'Q173714', 'Q173714']",0,4,"Эйве оставался одним из сильнейших шахматистов мира до конца 1940-х годов, а по окончании карьеры на высшем уровне занялся исследованиями в области информатики.","Махгилис (Макс) Эйве (нидерл. Machgielis «Max» Euwe, МФА: [ˈmɑks ˈøˑwə]; 20 мая 1901, Ватерграфсмер — 26 ноября 1981, Амстердам) — нидерландский шахматист и математик, пятый чемпион мира по шахматам (1935—1937), международный гроссмейстер (1950). Эйве стал чемпионом мира, победив в матче Александра Алехина, но через два года проиграл ему в матче-реванше. Эйве оставался одним из сильнейших шахматистов мира до конца 1940-х годов, а по окончании карьеры на высшем уровне занялся исследованиями в области информатики.
В 1970 году Эйве был избран президентом ФИДЕ и занимал эту должность два срока (1970—1978). На период его президентства пришлись скандальный матч на первенство мира между Борисом Спасским и Робертом Фишером и несостоявшийся матч Фишер — Карпов.
Игра Эйве отличалась логичностью и точным расчётом вариантов. Эйве был известен как сильный тактик, а также знаток дебютной теории. Его перу принадлежит большое количество книг, наиболее известны из которых шахматные учебники и дебютные справочники.
"
6,Эйве,"['Q173714', 'Q173714', 'Q173714']",12,16,В 1970 году Эйве был избран президентом ФИДЕ и занимал эту должность два срока (1970—1978).,"Махгилис (Макс) Эйве (нидерл. Machgielis «Max» Euwe, МФА: [ˈmɑks ˈøˑwə]; 20 мая 1901, Ватерграфсмер — 26 ноября 1981, Амстердам) — нидерландский шахматист и математик, пятый чемпион мира по шахматам (1935—1937), международный гроссмейстер (1950). Эйве стал чемпионом мира, победив в матче Александра Алехина, но через два года проиграл ему в матче-реванше. Эйве оставался одним из сильнейших шахматистов мира до конца 1940-х годов, а по окончании карьеры на высшем уровне занялся исследованиями в области информатики.
В 1970 году Эйве был избран президентом ФИДЕ и занимал эту должность два срока (1970—1978). На период его президентства пришлись скандальный матч на первенство мира между Борисом Спасским и Робертом Фишером и несостоявшийся матч Фишер — Карпов.
Игра Эйве отличалась логичностью и точным расчётом вариантов. Эйве был известен как сильный тактик, а также знаток дебютной теории. Его перу принадлежит большое количество книг, наиболее известны из которых шахматные учебники и дебютные справочники.
"
7,ФИДЕ,-1,40,44,В 1970 году Эйве был избран президентом ФИДЕ и занимал эту должность два срока (1970—1978).,"Махгилис (Макс) Эйве (нидерл. Machgielis «Max» Euwe, МФА: [ˈmɑks ˈøˑwə]; 20 мая 1901, Ватерграфсмер — 26 ноября 1981, Амстердам) — нидерландский шахматист и математик, пятый чемпион мира по шахматам (1935—1937), международный гроссмейстер (1950). Эйве стал чемпионом мира, победив в матче Александра Алехина, но через два года проиграл ему в матче-реванше. Эйве оставался одним из сильнейших шахматистов мира до конца 1940-х годов, а по окончании карьеры на высшем уровне занялся исследованиями в области информатики.
В 1970 году Эйве был избран президентом ФИДЕ и занимал эту должность два срока (1970—1978). На период его президентства пришлись скандальный матч на первенство мира между Борисом Спасским и Робертом Фишером и несостоявшийся матч Фишер — Карпов.
Игра Эйве отличалась логичностью и точным расчётом вариантов. Эйве был известен как сильный тактик, а также знаток дебютной теории. Его перу принадлежит большое количество книг, наиболее известны из которых шахматные учебники и дебютные справочники.
"
8,Борисом Спасским,"['Q98978873', 'Q99032838', 'Q21148694']",79,95,На период его президентства пришлись скандальный матч на первенство мира между Борисом Спасским и Робертом Фишером и несостоявшийся матч Фишер — Карпов.,"Махгилис (Макс) Эйве (нидерл. Machgielis «Max» Euwe, МФА: [ˈmɑks ˈøˑwə]; 20 мая 1901, Ватерграфсмер — 26 ноября 1981, Амстердам) — нидерландский шахматист и математик, пятый чемпион мира по шахматам (1935—1937), международный гроссмейстер (1950). Эйве стал чемпионом мира, победив в матче Александра Алехина, но через два года проиграл ему в матче-реванше. Эйве оставался одним из сильнейших шахматистов мира до конца 1940-х годов, а по окончании карьеры на высшем уровне занялся исследованиями в области информатики.
В 1970 году Эйве был избран президентом ФИДЕ и занимал эту должность два срока (1970—1978). На период его президентства пришлись скандальный матч на первенство мира между Борисом Спасским и Робертом Фишером и несостоявшийся матч Фишер — Карпов.
Игра Эйве отличалась логичностью и точным расчётом вариантов. Эйве был известен как сильный тактик, а также знаток дебютной теории. Его перу принадлежит большое количество книг, наиболее известны из которых шахматные учебники и дебютные справочники.
"
9,Робертом Фишером,"['Q41314', 'Q41314', 'Q41314']",98,114,На период его президентства пришлись скандальный матч на первенство мира между Борисом Спасским и Робертом Фишером и несостоявшийся матч Фишер — Карпов.,"Махгилис (Макс) Эйве (нидерл. Machgielis «Max» Euwe, МФА: [ˈmɑks ˈøˑwə]; 20 мая 1901, Ватерграфсмер — 26 ноября 1981, Амстердам) — нидерландский шахматист и математик, пятый чемпион мира по шахматам (1935—1937), международный гроссмейстер (1950). Эйве стал чемпионом мира, победив в матче Александра Алехина, но через два года проиграл ему в матче-реванше. Эйве оставался одним из сильнейших шахматистов мира до конца 1940-х годов, а по окончании карьеры на высшем уровне занялся исследованиями в области информатики.
В 1970 году Эйве был избран президентом ФИДЕ и занимал эту должность два срока (1970—1978). На период его президентства пришлись скандальный матч на первенство мира между Борисом Спасским и Робертом Фишером и несостоявшийся матч Фишер — Карпов.
Игра Эйве отличалась логичностью и точным расчётом вариантов. Эйве был известен как сильный тактик, а также знаток дебютной теории. Его перу принадлежит большое количество книг, наиболее известны из которых шахматные учебники и дебютные справочники.
"
