,entity,id,start,end,sent_context,full_context
0,San Isidoro de Sevilla),"['Q166876', 'Q83855380', 'Q8978140']",1,24, San Isidoro de Sevilla),"Святой Исидор Севильский (исп. San Isidoro de Sevilla), иначе Исидор Гиспальский (лат. Isidorus Hispalensis), или Исидор Младший (лат. Isidorus Iunior) (между 560—570, Гиспала, Вестготское королевство — 4 апреля 636, там же) — архиепископ Гиспалы (Севильи) в вестготской Испании (600/601—636), последний латинский отец Церкви, компилятор мосарабского богослужебного обряда. Наиболее известен как основатель средневекового энциклопедизма и плодовитый церковный писатель. Magnum opus — «Этимологии» в 20 книгах, универсальная энциклопедия, систематизирующая сумму позднеантичного знания в соответствии с христианскими представлениями.
По отцу происходил из знатного испано-римского рода, по матери, предположительно, — от вестготских королей. Наследовав около 600 или 601 года гиспальскую архиепископскую кафедру у старшего брата Леандра, активно участвовал в политической жизни Толедского королевства. На посту епископа стремился проводить политику этнической и политической консолидации государства на основе кафолического исповедания. В русле этой политики принимались решения созванных при его участии Второго Севильского (619) и Четвёртого Толедского соборов (633). До самой кончины Исидор Севильский имел значительное влияние на политику королей Лиувы II, Виттериха, Гундемара, Сисебута (ученик архиепископа), Реккареда II, Свинтилы и Сисенанда (узурпатор, чьи действия были санкционированы архиепископом Гиспалы).
Почитался как святой и чудотворец ещё с IX века, в 1598 году был канонизирован Римской католической церковью, в 1722 году провозглашён Учителем Церкви. Его старшие братья Леандр и Фульгенций, а также сестра Флорентина, были причислены к лику святых. С конца 1990-х годов стал широко известен как святой покровитель Интернета, существует виртуальный Орден св. Исидора Севильского.
"
1,Исидор Гиспальский,['Q166876'],8,26,", иначе Исидор Гиспальский (лат","Святой Исидор Севильский (исп. San Isidoro de Sevilla), иначе Исидор Гиспальский (лат. Isidorus Hispalensis), или Исидор Младший (лат. Isidorus Iunior) (между 560—570, Гиспала, Вестготское королевство — 4 апреля 636, там же) — архиепископ Гиспалы (Севильи) в вестготской Испании (600/601—636), последний латинский отец Церкви, компилятор мосарабского богослужебного обряда. Наиболее известен как основатель средневекового энциклопедизма и плодовитый церковный писатель. Magnum opus — «Этимологии» в 20 книгах, универсальная энциклопедия, систематизирующая сумму позднеантичного знания в соответствии с христианскими представлениями.
По отцу происходил из знатного испано-римского рода, по матери, предположительно, — от вестготских королей. Наследовав около 600 или 601 года гиспальскую архиепископскую кафедру у старшего брата Леандра, активно участвовал в политической жизни Толедского королевства. На посту епископа стремился проводить политику этнической и политической консолидации государства на основе кафолического исповедания. В русле этой политики принимались решения созванных при его участии Второго Севильского (619) и Четвёртого Толедского соборов (633). До самой кончины Исидор Севильский имел значительное влияние на политику королей Лиувы II, Виттериха, Гундемара, Сисебута (ученик архиепископа), Реккареда II, Свинтилы и Сисенанда (узурпатор, чьи действия были санкционированы архиепископом Гиспалы).
Почитался как святой и чудотворец ещё с IX века, в 1598 году был канонизирован Римской католической церковью, в 1722 году провозглашён Учителем Церкви. Его старшие братья Леандр и Фульгенций, а также сестра Флорентина, были причислены к лику святых. С конца 1990-х годов стал широко известен как святой покровитель Интернета, существует виртуальный Орден св. Исидора Севильского.
"
2,Исидор Младший,['Q166876'],6,20,", или Исидор Младший (лат.","Святой Исидор Севильский (исп. San Isidoro de Sevilla), иначе Исидор Гиспальский (лат. Isidorus Hispalensis), или Исидор Младший (лат. Isidorus Iunior) (между 560—570, Гиспала, Вестготское королевство — 4 апреля 636, там же) — архиепископ Гиспалы (Севильи) в вестготской Испании (600/601—636), последний латинский отец Церкви, компилятор мосарабского богослужебного обряда. Наиболее известен как основатель средневекового энциклопедизма и плодовитый церковный писатель. Magnum opus — «Этимологии» в 20 книгах, универсальная энциклопедия, систематизирующая сумму позднеантичного знания в соответствии с христианскими представлениями.
По отцу происходил из знатного испано-римского рода, по матери, предположительно, — от вестготских королей. Наследовав около 600 или 601 года гиспальскую архиепископскую кафедру у старшего брата Леандра, активно участвовал в политической жизни Толедского королевства. На посту епископа стремился проводить политику этнической и политической консолидации государства на основе кафолического исповедания. В русле этой политики принимались решения созванных при его участии Второго Севильского (619) и Четвёртого Толедского соборов (633). До самой кончины Исидор Севильский имел значительное влияние на политику королей Лиувы II, Виттериха, Гундемара, Сисебута (ученик архиепископа), Реккареда II, Свинтилы и Сисенанда (узурпатор, чьи действия были санкционированы архиепископом Гиспалы).
Почитался как святой и чудотворец ещё с IX века, в 1598 году был канонизирован Римской католической церковью, в 1722 году провозглашён Учителем Церкви. Его старшие братья Леандр и Фульгенций, а также сестра Флорентина, были причислены к лику святых. С конца 1990-х годов стал широко известен как святой покровитель Интернета, существует виртуальный Орден св. Исидора Севильского.
"
3,Гиспала,-1,34,41," Isidorus Iunior) (между 560—570, Гиспала, Вестготское королевство — 4 апреля 636, там же) — архиепископ Гиспалы (Севильи) в вестготской Испании (600/601—636), последний латинский отец Церкви, компилятор мосарабского богослужебного обряда.","Святой Исидор Севильский (исп. San Isidoro de Sevilla), иначе Исидор Гиспальский (лат. Isidorus Hispalensis), или Исидор Младший (лат. Isidorus Iunior) (между 560—570, Гиспала, Вестготское королевство — 4 апреля 636, там же) — архиепископ Гиспалы (Севильи) в вестготской Испании (600/601—636), последний латинский отец Церкви, компилятор мосарабского богослужебного обряда. Наиболее известен как основатель средневекового энциклопедизма и плодовитый церковный писатель. Magnum opus — «Этимологии» в 20 книгах, универсальная энциклопедия, систематизирующая сумму позднеантичного знания в соответствии с христианскими представлениями.
По отцу происходил из знатного испано-римского рода, по матери, предположительно, — от вестготских королей. Наследовав около 600 или 601 года гиспальскую архиепископскую кафедру у старшего брата Леандра, активно участвовал в политической жизни Толедского королевства. На посту епископа стремился проводить политику этнической и политической консолидации государства на основе кафолического исповедания. В русле этой политики принимались решения созванных при его участии Второго Севильского (619) и Четвёртого Толедского соборов (633). До самой кончины Исидор Севильский имел значительное влияние на политику королей Лиувы II, Виттериха, Гундемара, Сисебута (ученик архиепископа), Реккареда II, Свинтилы и Сисенанда (узурпатор, чьи действия были санкционированы архиепископом Гиспалы).
Почитался как святой и чудотворец ещё с IX века, в 1598 году был канонизирован Римской католической церковью, в 1722 году провозглашён Учителем Церкви. Его старшие братья Леандр и Фульгенций, а также сестра Флорентина, были причислены к лику святых. С конца 1990-х годов стал широко известен как святой покровитель Интернета, существует виртуальный Орден св. Исидора Севильского.
"
4,Вестготское королевство,-1,43,66," Isidorus Iunior) (между 560—570, Гиспала, Вестготское королевство — 4 апреля 636, там же) — архиепископ Гиспалы (Севильи) в вестготской Испании (600/601—636), последний латинский отец Церкви, компилятор мосарабского богослужебного обряда.","Святой Исидор Севильский (исп. San Isidoro de Sevilla), иначе Исидор Гиспальский (лат. Isidorus Hispalensis), или Исидор Младший (лат. Isidorus Iunior) (между 560—570, Гиспала, Вестготское королевство — 4 апреля 636, там же) — архиепископ Гиспалы (Севильи) в вестготской Испании (600/601—636), последний латинский отец Церкви, компилятор мосарабского богослужебного обряда. Наиболее известен как основатель средневекового энциклопедизма и плодовитый церковный писатель. Magnum opus — «Этимологии» в 20 книгах, универсальная энциклопедия, систематизирующая сумму позднеантичного знания в соответствии с христианскими представлениями.
По отцу происходил из знатного испано-римского рода, по матери, предположительно, — от вестготских королей. Наследовав около 600 или 601 года гиспальскую архиепископскую кафедру у старшего брата Леандра, активно участвовал в политической жизни Толедского королевства. На посту епископа стремился проводить политику этнической и политической консолидации государства на основе кафолического исповедания. В русле этой политики принимались решения созванных при его участии Второго Севильского (619) и Четвёртого Толедского соборов (633). До самой кончины Исидор Севильский имел значительное влияние на политику королей Лиувы II, Виттериха, Гундемара, Сисебута (ученик архиепископа), Реккареда II, Свинтилы и Сисенанда (узурпатор, чьи действия были санкционированы архиепископом Гиспалы).
Почитался как святой и чудотворец ещё с IX века, в 1598 году был канонизирован Римской католической церковью, в 1722 году провозглашён Учителем Церкви. Его старшие братья Леандр и Фульгенций, а также сестра Флорентина, были причислены к лику святых. С конца 1990-х годов стал широко известен как святой покровитель Интернета, существует виртуальный Орден св. Исидора Севильского.
"
5,Гиспалы,['Q166876'],105,112," Isidorus Iunior) (между 560—570, Гиспала, Вестготское королевство — 4 апреля 636, там же) — архиепископ Гиспалы (Севильи) в вестготской Испании (600/601—636), последний латинский отец Церкви, компилятор мосарабского богослужебного обряда.","Святой Исидор Севильский (исп. San Isidoro de Sevilla), иначе Исидор Гиспальский (лат. Isidorus Hispalensis), или Исидор Младший (лат. Isidorus Iunior) (между 560—570, Гиспала, Вестготское королевство — 4 апреля 636, там же) — архиепископ Гиспалы (Севильи) в вестготской Испании (600/601—636), последний латинский отец Церкви, компилятор мосарабского богослужебного обряда. Наиболее известен как основатель средневекового энциклопедизма и плодовитый церковный писатель. Magnum opus — «Этимологии» в 20 книгах, универсальная энциклопедия, систематизирующая сумму позднеантичного знания в соответствии с христианскими представлениями.
По отцу происходил из знатного испано-римского рода, по матери, предположительно, — от вестготских королей. Наследовав около 600 или 601 года гиспальскую архиепископскую кафедру у старшего брата Леандра, активно участвовал в политической жизни Толедского королевства. На посту епископа стремился проводить политику этнической и политической консолидации государства на основе кафолического исповедания. В русле этой политики принимались решения созванных при его участии Второго Севильского (619) и Четвёртого Толедского соборов (633). До самой кончины Исидор Севильский имел значительное влияние на политику королей Лиувы II, Виттериха, Гундемара, Сисебута (ученик архиепископа), Реккареда II, Свинтилы и Сисенанда (узурпатор, чьи действия были санкционированы архиепископом Гиспалы).
Почитался как святой и чудотворец ещё с IX века, в 1598 году был канонизирован Римской католической церковью, в 1722 году провозглашён Учителем Церкви. Его старшие братья Леандр и Фульгенций, а также сестра Флорентина, были причислены к лику святых. С конца 1990-х годов стал широко известен как святой покровитель Интернета, существует виртуальный Орден св. Исидора Севильского.
"
6,Севильи,"['Q8717', 'Q63092', 'Q10329']",114,121," Isidorus Iunior) (между 560—570, Гиспала, Вестготское королевство — 4 апреля 636, там же) — архиепископ Гиспалы (Севильи) в вестготской Испании (600/601—636), последний латинский отец Церкви, компилятор мосарабского богослужебного обряда.","Святой Исидор Севильский (исп. San Isidoro de Sevilla), иначе Исидор Гиспальский (лат. Isidorus Hispalensis), или Исидор Младший (лат. Isidorus Iunior) (между 560—570, Гиспала, Вестготское королевство — 4 апреля 636, там же) — архиепископ Гиспалы (Севильи) в вестготской Испании (600/601—636), последний латинский отец Церкви, компилятор мосарабского богослужебного обряда. Наиболее известен как основатель средневекового энциклопедизма и плодовитый церковный писатель. Magnum opus — «Этимологии» в 20 книгах, универсальная энциклопедия, систематизирующая сумму позднеантичного знания в соответствии с христианскими представлениями.
По отцу происходил из знатного испано-римского рода, по матери, предположительно, — от вестготских королей. Наследовав около 600 или 601 года гиспальскую архиепископскую кафедру у старшего брата Леандра, активно участвовал в политической жизни Толедского королевства. На посту епископа стремился проводить политику этнической и политической консолидации государства на основе кафолического исповедания. В русле этой политики принимались решения созванных при его участии Второго Севильского (619) и Четвёртого Толедского соборов (633). До самой кончины Исидор Севильский имел значительное влияние на политику королей Лиувы II, Виттериха, Гундемара, Сисебута (ученик архиепископа), Реккареда II, Свинтилы и Сисенанда (узурпатор, чьи действия были санкционированы архиепископом Гиспалы).
Почитался как святой и чудотворец ещё с IX века, в 1598 году был канонизирован Римской католической церковью, в 1722 году провозглашён Учителем Церкви. Его старшие братья Леандр и Фульгенций, а также сестра Флорентина, были причислены к лику святых. С конца 1990-х годов стал широко известен как святой покровитель Интернета, существует виртуальный Орден св. Исидора Севильского.
"
7,Испании,"['Q29', 'Q170603', 'Q2074737']",137,144," Isidorus Iunior) (между 560—570, Гиспала, Вестготское королевство — 4 апреля 636, там же) — архиепископ Гиспалы (Севильи) в вестготской Испании (600/601—636), последний латинский отец Церкви, компилятор мосарабского богослужебного обряда.","Святой Исидор Севильский (исп. San Isidoro de Sevilla), иначе Исидор Гиспальский (лат. Isidorus Hispalensis), или Исидор Младший (лат. Isidorus Iunior) (между 560—570, Гиспала, Вестготское королевство — 4 апреля 636, там же) — архиепископ Гиспалы (Севильи) в вестготской Испании (600/601—636), последний латинский отец Церкви, компилятор мосарабского богослужебного обряда. Наиболее известен как основатель средневекового энциклопедизма и плодовитый церковный писатель. Magnum opus — «Этимологии» в 20 книгах, универсальная энциклопедия, систематизирующая сумму позднеантичного знания в соответствии с христианскими представлениями.
По отцу происходил из знатного испано-римского рода, по матери, предположительно, — от вестготских королей. Наследовав около 600 или 601 года гиспальскую архиепископскую кафедру у старшего брата Леандра, активно участвовал в политической жизни Толедского королевства. На посту епископа стремился проводить политику этнической и политической консолидации государства на основе кафолического исповедания. В русле этой политики принимались решения созванных при его участии Второго Севильского (619) и Четвёртого Толедского соборов (633). До самой кончины Исидор Севильский имел значительное влияние на политику королей Лиувы II, Виттериха, Гундемара, Сисебута (ученик архиепископа), Реккареда II, Свинтилы и Сисенанда (узурпатор, чьи действия были санкционированы архиепископом Гиспалы).
Почитался как святой и чудотворец ещё с IX века, в 1598 году был канонизирован Римской католической церковью, в 1722 году провозглашён Учителем Церкви. Его старшие братья Леандр и Фульгенций, а также сестра Флорентина, были причислены к лику святых. С конца 1990-х годов стал широко известен как святой покровитель Интернета, существует виртуальный Орден св. Исидора Севильского.
"
8,Церкви,"['Q855585', 'Q33342', 'Q683724']",185,191," Isidorus Iunior) (между 560—570, Гиспала, Вестготское королевство — 4 апреля 636, там же) — архиепископ Гиспалы (Севильи) в вестготской Испании (600/601—636), последний латинский отец Церкви, компилятор мосарабского богослужебного обряда.","Святой Исидор Севильский (исп. San Isidoro de Sevilla), иначе Исидор Гиспальский (лат. Isidorus Hispalensis), или Исидор Младший (лат. Isidorus Iunior) (между 560—570, Гиспала, Вестготское королевство — 4 апреля 636, там же) — архиепископ Гиспалы (Севильи) в вестготской Испании (600/601—636), последний латинский отец Церкви, компилятор мосарабского богослужебного обряда. Наиболее известен как основатель средневекового энциклопедизма и плодовитый церковный писатель. Magnum opus — «Этимологии» в 20 книгах, универсальная энциклопедия, систематизирующая сумму позднеантичного знания в соответствии с христианскими представлениями.
По отцу происходил из знатного испано-римского рода, по матери, предположительно, — от вестготских королей. Наследовав около 600 или 601 года гиспальскую архиепископскую кафедру у старшего брата Леандра, активно участвовал в политической жизни Толедского королевства. На посту епископа стремился проводить политику этнической и политической консолидации государства на основе кафолического исповедания. В русле этой политики принимались решения созванных при его участии Второго Севильского (619) и Четвёртого Толедского соборов (633). До самой кончины Исидор Севильский имел значительное влияние на политику королей Лиувы II, Виттериха, Гундемара, Сисебута (ученик архиепископа), Реккареда II, Свинтилы и Сисенанда (узурпатор, чьи действия были санкционированы архиепископом Гиспалы).
Почитался как святой и чудотворец ещё с IX века, в 1598 году был канонизирован Римской католической церковью, в 1722 году провозглашён Учителем Церкви. Его старшие братья Леандр и Фульгенций, а также сестра Флорентина, были причислены к лику святых. С конца 1990-х годов стал широко известен как святой покровитель Интернета, существует виртуальный Орден св. Исидора Севильского.
"
9,Этимологии,"['Q35245', 'Q86853202', 'Q87326687']",15,25,"Magnum opus — «Этимологии» в 20 книгах, универсальная энциклопедия, систематизирующая сумму позднеантичного знания в соответствии с христианскими представлениями.","Святой Исидор Севильский (исп. San Isidoro de Sevilla), иначе Исидор Гиспальский (лат. Isidorus Hispalensis), или Исидор Младший (лат. Isidorus Iunior) (между 560—570, Гиспала, Вестготское королевство — 4 апреля 636, там же) — архиепископ Гиспалы (Севильи) в вестготской Испании (600/601—636), последний латинский отец Церкви, компилятор мосарабского богослужебного обряда. Наиболее известен как основатель средневекового энциклопедизма и плодовитый церковный писатель. Magnum opus — «Этимологии» в 20 книгах, универсальная энциклопедия, систематизирующая сумму позднеантичного знания в соответствии с христианскими представлениями.
По отцу происходил из знатного испано-римского рода, по матери, предположительно, — от вестготских королей. Наследовав около 600 или 601 года гиспальскую архиепископскую кафедру у старшего брата Леандра, активно участвовал в политической жизни Толедского королевства. На посту епископа стремился проводить политику этнической и политической консолидации государства на основе кафолического исповедания. В русле этой политики принимались решения созванных при его участии Второго Севильского (619) и Четвёртого Толедского соборов (633). До самой кончины Исидор Севильский имел значительное влияние на политику королей Лиувы II, Виттериха, Гундемара, Сисебута (ученик архиепископа), Реккареда II, Свинтилы и Сисенанда (узурпатор, чьи действия были санкционированы архиепископом Гиспалы).
Почитался как святой и чудотворец ещё с IX века, в 1598 году был канонизирован Римской католической церковью, в 1722 году провозглашён Учителем Церкви. Его старшие братья Леандр и Фульгенций, а также сестра Флорентина, были причислены к лику святых. С конца 1990-х годов стал широко известен как святой покровитель Интернета, существует виртуальный Орден св. Исидора Севильского.
"
